group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,constraint_template,constraint_category,rm_odp_viewpoint,evaluation_mode,verdict,explanation,adaptation,in_paper_appendix
10,Communication Mechanism Mismatch,communication_mechanism,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare mechanism.",Missing,INTEGRATED,Interface Compatibility,RuntimeLevel,Computational,LLMAssisted,Gap,,,True
10,Conceptual Quality Gap,Authors’ Unique Identifier,Embedded,Pattern-agnostic,,,,Neither provides metadata.,Missing,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Gap,,,True
10,Distribution Version Mismatch,distribution_version,Embedded,Exact equality required,3.0,2013.1,2013 embedded ofam3-wombat configuration,Not equal.,Mismatch,INTEGRATED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
10,Hardware Resource Mismatch,hardware_specification_and_requirements,Embedded,Exact equality required,high-performance computing hpc environment required due to eddy-resolving 1 / 10° resolution.,"shares the hpc requirements of the host eddy-resolving circulation model e.g., ofam3 on a distributed-memory cluster .","hpc cluster with sufficient memory, cpu to run 1 / 10° eddy-resolving coupled integrations.",Not equal.,Mismatch,INTEGRATED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
10,Latency Expectation Mismatch,latency_expectations,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare this.",Missing,INTEGRATED,Latency Compatibility,RuntimeLevel,Engineering,LLMAssisted,Gap,,,True
10,License Incompatibility,license,Embedded,Pattern-graded requirement,"research / institutional use csiro / bureau of meteorology, not an osi open-source license .",research / institutional use csiro / bureau of meteorology .,,Exact equality required at Embedded.,Mismatch,INTEGRATED,License Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
10,Operating Environment Mismatch,operating_system,Embedded,Declared operating systems must overlap,,,,Operating system not declared on one or both sides.,Missing,INTEGRATED,Operating Environment Compatibility,RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: Operating system not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
10,Semantic Mismatch,Model Type,Embedded,Coverage threshold ≥ 0.50,"mechanistic, process-based general circulation model gcm",process-based biogeochemical cycling model npzd-type,mechanistic embedded physical-biogeochemical coupled system,"A→AB:0.20 (covered: mechanistic) | B→AB:0.20 (covered: biogeochemical) | A∪B→AB:0.40 (covered: biogeochemical, mechanistic) | uncovered_AB: embedded, physical, system",Mismatch,INTEGRATED,(auxiliary) Semantic Mismatch / Model Type,PatternAgnostic,Domain,Deterministic,Mismatch,"Deterministic check: A→AB:0.20 (covered: mechanistic) | B→AB:0.20 (covered: biogeochemical) | A∪B→AB:0.40 (covered: biogeochemical, mechanistic) | uncovered_AB: embedded, physical, system",Introduce an explicit mediation/adaptation step to resolve this incompatibility before integration.,False
10,Semantic Mismatch,Model Version,Embedded,A or B must equal AB exactly,3.0; 2009; v1.1,2013.1; 2008; 2011,ofam3 v3.0 + wombat 2013.1; 2013,A==AB:×; B==AB:×,Mismatch,INTEGRATED,(auxiliary) Semantic Mismatch / Model Version,PatternAgnostic,Domain,Deterministic,Mismatch,Deterministic check: A==AB:×; B==AB:×,Introduce an explicit mediation/adaptation step to resolve this incompatibility before integration.,False
10,Semantic Mismatch,Purpose & Pattern,Embedded,Coverage threshold ≥ 0.50,"hindcast, forecast upper-ocean circulation, mesoscale eddies, physical drivers of biogeochemical variability.; embedded physical core that can call wombat biogeochemistry in-memory at each timestep when enabled.","quantify nutrient, carbon cycling, chlorophyll distributions, ecosystem variability when embedded in a 3d ocean circulation model.; embedded biogeochemical module called in-memory from the host circulation model ofam3 at each timestep.","quantify physical-biogeochemical interactions, including nutrient, carbon cycling, chlorophyll distributions, ecosystem variability, in an eddy-resolving near-global ocean configuration.; embedded coupling, wombat is called directly from ofam3’s time-stepping loop in lockstep with physical integration.; embedded","A→AB:0.17 (covered: biogeochemical, embedded, physical, variability, wombat) | B→AB:0.41 (covered: biogeochemical, called, carbon, chlorophyll, cycling, distributions, ecosystem, embedded, nutrient, ofam3, quantify, variability) | A∪B→AB:0.48 (covered: biogeochemical, called, carbon, chlorophyll, cycling, distributions, ecosystem, embedded, nutrient, ofam3, physical, quantify, variability, wombat) | uncovered_AB: configuration, coupling, directly, eddy, global, including, integration, interactions, is, lockstep, loop, near, resolving, stepping, time",Mismatch,INTEGRATED,Purpose Compatibility,PatternAgnostic,Domain,LLMAssisted,Mismatch,,,True
