group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,constraint_template,constraint_category,rm_odp_viewpoint,evaluation_mode,verdict,explanation,adaptation,in_paper_appendix
5,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Integrated,Pattern-graded requirement,"cite orca2-lim timmermann et al. 2005 , opa reference manual, lim papers.","cite orca2-lim timmermann 2005 , opa reference manual.","cite solidoro et al. 2003 , shyfem developers, wasp5 developers.",Both sides present.,Match,INTEGRATED,Synchronization Compatibility,RuntimeLevel,Engineering,LLMAssisted,Match,,,True
5,Communication Mechanism Mismatch,communication_mechanism,Integrated,Pattern-graded requirement,,,,Integrated requires both sides to declare mechanism.,Missing,INTEGRATED,Interface Compatibility,RuntimeLevel,Computational,LLMAssisted,Gap,,,True
5,Conceptual Quality Gap,Authors’ Unique Identifier,Integrated,Pattern-agnostic,"thierry fichefet; sea-ice model development; luis a. morales maqueda; thermodynamics, dynamics formulation; ralph timmermann; orca2-lim configuration, analysis",gurvan madec; opa development; ralph timmermann; orca2-lim high-latitude evaluation,,Both provide metadata.,Match,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
5,Conceptual Quality Gap,Calibration Tools/Data,Integrated,Pattern-agnostic,"ice strength p*, h0 tuning, albedo options tuned for orca2-lim realism","sss restoring to phc, combined reanalysis / climatology atmospheric forcing, runoff climatologies.",,Both provide metadata.,Match,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
5,Conceptual Quality Gap,Conceptual Model Evaluation,Integrated,Pattern-agnostic,"based on standard vp rheology, multilayer thermodynamics, orca2-lim applications reproduce major hemispheric sea-ice patterns, seasonal cycles.","validated in tropics, high latitudes, orca2-lim reproduces large-scale hydrography, convection sites, acc transport.",,Both provide metadata.,Match,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
5,Conceptual Quality Gap,Links to Publications & Reports,Integrated,Pattern-agnostic,fichefet & morales maqueda 1997; fichefet & morales maqueda 1999; goosse & fichefet 1999; timmermann et al. 2005,madec et al. 1999; timmermann et al. 2005,,Both provide metadata.,Match,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
5,Conceptual Quality Gap,Sensitivity Analysis,Integrated,Pattern-agnostic,,,,Neither provides metadata.,Missing,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Gap,,,True
5,Conceptual Quality Gap,Uncertainty Analysis,Integrated,Pattern-agnostic,,,,Neither provides metadata.,Missing,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Gap,,,True
5,Conceptual Quality Gap,Validation Capabilities,Integrated,Pattern-agnostic,"satellite ice concentration, ice drift ssm / i, avhrr , submarine / uls thickness, climatological seasonal cycles.","phc hydrography, argo-like profiles, mld depth, acc transport, sea-ice-linked metrics.",,Both provide metadata.,Match,INTEGRATED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
5,Data Schema Mismatch,(A or B).input vs AB.input,Integrated,(A or B).input ↔ AB.input (similarity>0),A.in:sea_surface_temperature; sea_surface_salinity; ocean_surface_currents_u; ocean_surface_currents_v; ocean_mixed_layer_depth; downwelling_shortwave_radiation; downwelling_longwave_radiation; opa-provided surface fields; fluxes in-memory; physical ocean state; fluxes | B.in:ice_concentration; ice_thickness; snow_thickness; ice_ocean_freshwater_flux; ice_ocean_heat_flux; ice_ocean_momentum_stress; sea-ice fields; ice-ocean fluxes from lim in-memory; sea-ice state; fluxes,,(none),max=0.00 | missing: AB.input,Missing,INTEGRATED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Gap,,,True
5,Data Schema Mismatch,(A or B).output vs AB.output,Integrated,(A or B).output ↔ AB.output (similarity>0),A.out:ice_concentration; ice_thickness; snow_thickness; ice_drift_u; ice_drift_v; surface_albedo; ice_ocean_freshwater_flux; ice_ocean_heat_flux; ice_ocean_momentum_stress | B.out:sea_surface_temperature; sea_surface_salinity; ocean_surface_currents_u; ocean_surface_currents_v; mixed_layer_depth; downwelling_shortwave_radiation; downwelling_longwave_radiation,,hydrodynamics; nutrients; phytoplankton; dissolved oxygen,max=0.00,Mismatch,INTEGRATED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Mismatch,,,True
5,Data Schema Mismatch,Direction (any),Integrated,A.output ↔ B.input OR B.output ↔ A.input (≥1),A.out:ice_concentration; ice_thickness; snow_thickness; ice_drift_u; ice_drift_v; surface_albedo; ice_ocean_freshwater_flux; ice_ocean_heat_flux; ice_ocean_momentum_stress,B.out:sea_surface_temperature; sea_surface_salinity; ocean_surface_currents_u; ocean_surface_currents_v; mixed_layer_depth; downwelling_shortwave_radiation; downwelling_longwave_radiation,,A2B:✓; B2A:✓,Match,INTEGRATED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Match,,,True
5,Data Synchronization,data_synchronization,Integrated,Pattern-graded requirement,bidirectional flux / state exchange each coupling interval.,"synchronous exchange of sea-ice fields, ocean state fields.","daily or hourly export, wasp5 internal time interpolation if required.",Integrated expects explicit synchronous/lockstep cues.,Match,INTEGRATED,Synchronization Compatibility,RuntimeLevel,Engineering,LLMAssisted,Match,,,True
5,Dimensionality Mismatch,dimensionality,Integrated,Common exchanged variables align semantically (or a declared conversion bridges them),2d + multilayer vertical thermodynamics,3d,3d shyfem + 0d / 1d compartments wasp5,A<->B token-sim=0.00 (not aligned) and no resampling/conversion policy is declared.,Mismatch,INTEGRATED,Dimensionality Compatibility,InformationLevel,Information,Deterministic,Mismatch,Deterministic check: A<->B token-sim=0.00 (not aligned) and no resampling/conversion policy is declared.,Aggregate or disaggregate the exchanged variable to the dimensionality required by the receiving model.,True
5,Distribution Version Mismatch,distribution_version,Integrated,Exact equality required,orca2-lim 2005 application,8.2,1.0,Not equal.,Mismatch,INTEGRATED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
