group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,constraint_template,constraint_category,rm_odp_viewpoint,evaluation_mode,in_paper_appendix,verdict,explanation,adaptation
1,Semantic Mismatch,Title,Loose,Coverage threshold ≥ 0.50,"flake, a one-dimensional lake physics model; flake_static_parameters; kirillin v.; zhan q.","pclake+, a process-based ecological model for lakes; pclakeplus_static_parameters; janse j.h.; janssen a.b.g.; zhan q.",integrated flake → pclake+ → ecosystem services framework,"A→AB:0.14 (covered: flake) | B→AB:0.43 (covered: pclake, pclake+, pclakeplus) | A∪B→AB:0.57 (covered: flake, pclake, pclake+, pclakeplus) | uncovered_AB: ecosystem, integrated, services",Match,INTENDED,(auxiliary) Semantic Mismatch / Title,PatternAgnostic,Domain,Deterministic,False,Match,"Deterministic check: A→AB:0.14 (covered: flake) | B→AB:0.43 (covered: pclake, pclake+, pclakeplus) | A∪B→AB:0.57 (covered: flake, pclake, pclake+, pclakeplus) | uncovered_AB: ecosystem, integrated, services",No adaptation required.
1,Semantic Mismatch,Model Version,Loose,A or B must equal AB exactly,2023.1,2023.1,1.0,A==AB:×; B==AB:×,Mismatch,INTENDED,(auxiliary) Semantic Mismatch / Model Version,PatternAgnostic,Domain,Deterministic,False,Mismatch,Deterministic check: A==AB:×; B==AB:×,Introduce an explicit mediation/adaptation step to resolve this incompatibility before integration.
1,Semantic Mismatch,Description,Loose,Coverage threshold ≥ 0.50,"flake is a one-dimensional lake physics model simulating vertical thermal structure, stratification, heat fluxes, mixing depth, ice cover. it predicts mixing regimes, thermal profiles under meteorological or climate change scenarios. outputs are used as boundary conditions for ecological models such as pclake+. pdf additions, predicts prolonged summer stratification, reduced winter stratification under warming.; lake-specific constants such as depth, albedo, sediment heat flux coefficients.","a mechanistic ecological model simulating nutrient cycling, phytoplankton, zooplankton, fish, macrophytes, detritus, sediment processes, wetland interactions. supports vertical stratification. pdf additions include, wetland purification, es module extension, hourly meteorological forcing.; constants for biogeochemistry, food webs, sediments; temperature profile + mixing depth from flake","a climate-ecology-ecosystem-services modeling framework. flake simulates stratification, thermal structure under climate scenarios. its outputs mixing depth, temperature profile force pclake+, which simulates nutrient cycling, phytoplankton groups, macrophytes, oxygen, food web dynamics. an ecosystem services es module converts ecological states into es provisioning scores using threshold-based suitability functions.","A→AB:0.29 (covered: climate, depth, ecological, flake, mixing, pclake, pclake+, pclakeplus, scenarios, stratification, structure, thermal) | B→AB:0.33 (covered: cycling, depth, ecological, es, flake, food, macrophytes, mixing, module, nutrient, phytoplankton, profile, stratification, temperature) | A∪B→AB:0.50 (covered: climate, cycling, depth, ecological, es, flake, food, macrophytes, mixing, module, nutrient, pclake, pclake+, pclakeplus, phytoplankton, profile, scenarios, stratification, structure, temperature, thermal) | uncovered_AB: based, converts, dynamics, ecology, ecosystem, force, functions, groups, its, modeling, oxygen, provisioning, scores, services, simulates, states, suitability, threshold, using, web, which",Match,INTENDED,(auxiliary) Semantic Mismatch / Description,PatternAgnostic,Domain,Deterministic,False,Match,"Deterministic check: A→AB:0.29 (covered: climate, depth, ecological, flake, mixing, pclake, pclake+, pclakeplus, scenarios, stratification, structure, thermal) | B→AB:0.33 (covered: cycling, depth, ecological, es, flake, food, macrophytes, mixing, module, nutrient, phytoplankton, profile, stratification, temperature) | A∪B→AB:0.50 (covered: climate, cycling, depth, ecological, es, flake, food, macrophytes, mixing, module, nutrient, pclake, pclake+, pclakeplus, phytoplankton, profile, scenarios, stratification, structure, temperature, thermal) | uncovered_AB: based, converts, dynamics, ecology, ecosystem, force, functions, groups, its, modeling, oxygen, provisioning, scores, services, simulates, states, suitability, threshold, using, web, which",No adaptation required.
1,Semantic Mismatch,Keywords,Loose,Coverage threshold ≥ 0.50,lake physics; thermal stratification; mixing depth; heat balance; climate change; aquatic modeling,lake ecology; eutrophication; nutrient cycling; water quality; ecosystem services; restoration; food webs,coupled modeling; stratification; eutrophication; ecosystem services; climate scenarios; restoration scenarios,"A→AB:0.38 (covered: climate, modeling, stratification) | B→AB:0.50 (covered: ecosystem, eutrophication, restoration, services) | A∪B→AB:0.88 (covered: climate, ecosystem, eutrophication, modeling, restoration, services, stratification) | uncovered_AB: scenarios",Match,INTENDED,(auxiliary) Semantic Mismatch / Keywords,PatternAgnostic,Domain,Deterministic,False,Match,"Deterministic check: A→AB:0.38 (covered: climate, modeling, stratification) | B→AB:0.50 (covered: ecosystem, eutrophication, restoration, services) | A∪B→AB:0.88 (covered: climate, ecosystem, eutrophication, modeling, restoration, services, stratification) | uncovered_AB: scenarios",No adaptation required.
1,Semantic Mismatch,Model Type,Loose,Coverage vs AB,"mechanistic, process-based model",mechanistic,,AB value missing.,Missing,INTENDED,(auxiliary) Semantic Mismatch / Model Type,PatternAgnostic,Domain,Deterministic,False,Gap,Deterministic check: AB value missing.,Provide the missing metadata field(s) for both models before this constraint can be assessed.
1,Semantic Mismatch,Scope,Loose,Coverage threshold ≥ 0.50,"simulation of temperature dynamics, vertical mixing in freshwater lakes","freshwater lakes shallow, deep","simulation of physical, ecological, es processes in freshwater lakes","A→AB:0.43 (covered: freshwater, lakes, simulation) | B→AB:0.29 (covered: freshwater, lakes) | A∪B→AB:0.43 (covered: freshwater, lakes, simulation) | uncovered_AB: ecological, es, physical, processes",Mismatch,INTENDED,Scope Compatibility,PatternAgnostic,Domain,LLMAssisted,True,Mismatch,,
1,Semantic Mismatch,Purpose & Pattern,Loose,Coverage threshold ≥ 0.50,"forecast lake thermal stratification, mixing depth for climate, water quality studies; one-way data provider to ecological or water quality models","simulate ecological responses to nutrients, climate, restoration; consumes boundary conditions from external physical models","simulate the combined physical, ecological, ecosystem-service response of lakes to climate change, management interventions.; one-way sequential coupling physical → ecological → es","A→AB:0.24 (covered: climate, ecological, one, way) | B→AB:0.24 (covered: climate, ecological, physical, simulate) | A∪B→AB:0.35 (covered: climate, ecological, one, physical, simulate, way) | uncovered_AB: change, combined, coupling, ecosystem, es, interventions, lakes, management, response, sequential, service",Mismatch,INTENDED,Purpose Compatibility,PatternAgnostic,Domain,LLMAssisted,True,Mismatch,,
1,Semantic Mismatch,Assumptions,Loose,Coverage vs AB,vertical processes dominate 1d structure; lateral homogeneity; energy balance drives stratification; meteorological forcing sufficiently describes external conditions,1d vertical structure is sufficient; external loads dominate nutrient inputs; no feedback to physical model,,AB value missing.,Missing,INTENDED,Assumption Compatibility,PatternAgnostic,Domain,LLMAssisted,True,Gap,,
1,Conceptual Quality Gap,Links to Publications & Reports,Loose,Pattern-agnostic,"kirillin et al., 2011; zhan et al., 2023",janse 2005; janse et al. 2010; janssen et al. 2019; zhan et al. 2023,,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,True,Match,,
1,Conceptual Quality Gap,Authors’ Unique Identifier,Loose,Pattern-agnostic,"kirillin v.; https, / / orcid.org / 0000-0002-9837-2461; zhan q.; https, / / orcid.org / 0000-0002-7765-5155","janse j.h.; https, / / orcid.org / 0000-0003-1636-679x; janssen a.b.g.; zhan q.",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,True,Match,,
