group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,constraint_template,constraint_category,rm_odp_viewpoint,evaluation_mode,verdict,explanation,adaptation,in_paper_appendix
3,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTENDED,Synchronization Compatibility,RuntimeLevel,Engineering,LLMAssisted,Gap,,,True
3,Communication Mechanism Mismatch,communication_mechanism,Loose,Pattern-graded requirement,,,,Both sides or AB canonical interface required.,Missing,INTENDED,Interface Compatibility,RuntimeLevel,Computational,LLMAssisted,Gap,,,True
3,Data Schema Mismatch,(A or B).input vs AB.input,Loose,(A or B).input ↔ AB.input (similarity>0),A.in:wind_u10 # m s^-1; wind_v10 # m s^-1; sea_ice_concentration # 0-1 optional; attenuation; drag regime; surface_current_u # m s^-1 optional; from ocean model; surface_current_v # m s^-1 optional; atmospheric winds; ice fields; optional ocean / ice modifiers; optional surface currents; sea-ice fraction for wave-current; wave-ice effects in coupled mode e.g.; ifs-ecwam-nemo framework .; 10 m wind u10; v10; sea-ice concentration attenuation; drag regime selection; bathymetry; coastlines | B.in:stokes_drift_surface_u # m s^-1; stokes_drift_surface_v # m s^-1; stokes_profile_scale # m^-1; inverse depth scale for stokes drift profile; wave_modified_stress_to_ocean # n m^-2 ratio or absolute water-side stress; wave_breaking_tke_flux # w m^-2; sea_ice_concentration # 0-1 from wave / ice system or external forcing; standard atmospheric forcing heat; freshwater; momentum; standard surface forcing plus wave-induced fields from a spectral wave model ecwam when wave coupling is active; provides surface stokes drift; parameters for the vertical stokes drift profile; sea-state dependent water-side stress; breaking-wave tke flux used as upper boundary conditions in nemo.; surface wind stress; heat / freshwater fluxes e.g.; era-interim; runoff; restoring fields; sea-ice fields if lim is enabled,,(none),max=0.00 | missing: AB.input,Missing,INTENDED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Gap,,,True
3,Dimensionality Mismatch,dimensionality,Loose,Common exchanged variables align semantically (or a declared conversion bridges them),2d spatial + 2d spectral frequency × direction,3d,,A<->B token-sim=0.00 (not aligned) and no resampling/conversion policy is declared.,Mismatch,INTENDED,Dimensionality Compatibility,InformationLevel,Information,Deterministic,Mismatch,Deterministic check: A<->B token-sim=0.00 (not aligned) and no resampling/conversion policy is declared.,Aggregate or disaggregate the exchanged variable to the dimensionality required by the receiving model.,True
3,Distribution Version Mismatch,distribution_version,Loose,Pattern-graded similarity/equality,cy38r1,v3.4 orca1l42 + lim2 configuration,,A↔B token-sim=0.00 (> 0.00),Mismatch,INTENDED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
3,File Format Mismatch,file_formats,Loose,Presence required,,,,Neither provides metadata.,Missing,INTENDED,Data Format Compatibility,InformationLevel,Information,Deterministic,Gap,Deterministic check: Neither provides metadata.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
3,License Incompatibility,license,Loose,Pattern-graded requirement,"ecmwf license non-commercial research use, subject to ecmwf data policy",cecill-c nemo core,,A↔B token-sim=0.00 (> 0.00),Mismatch,INTENDED,License Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
3,Operating Environment Mismatch,operating_system,Loose,Declared operating systems must overlap,,,,Operating system not declared on one or both sides.,Missing,INTENDED,Operating Environment Compatibility,RuntimeLevel,Technology,Deterministic,Gap,Deterministic check: Operating system not declared on one or both sides.,Provide the missing metadata field(s) for both models before this constraint can be assessed.,True
3,Semantic Mismatch,Assumptions,Loose,Coverage threshold ≥ 0.50,"linear wave theory with parameterized source / sink terms; spectral representation in frequency-direction space; waves forced primarily by 10 m winds, dissipation via breaking, bottom friction; sea-state dependent drag formulation for air-sea momentum flux","boussinesq, hydrostatic primitive equations on a structured grid e.g., orca .; turbulence closures based on gls / tke schemes, additional empirical deep mixing etau may be applied.; surface boundary conditions combine air-sea fluxes and, in wave-aware runs, ecwam-derived stress, tke flux, stokes drift.; weak relaxation toward climatology at depth in some configurations.","components expose required variables drift, stress, fluxes, currents, sea-ice; cadence allows lagged feedback without every-step sync; units, sign conventions, grids can be harmonized remapping as needed","A→AB:0.00 (covered: —) | B→AB:0.14 (covered: be, drift, stress) | A∪B→AB:0.14 (covered: be, drift, stress) | uncovered_AB: allows, cadence, can, conventions, currents, every, expose, feedback, grids, harmonized, lagged, needed, remapping, required, sign, step, sync, units, without",Mismatch,INTENDED,Assumption Compatibility,PatternAgnostic,Domain,LLMAssisted,Mismatch,,,True
3,Semantic Mismatch,Description,Loose,Coverage threshold ≥ 0.50,"a third-generation spectral wave model developed by ecmwf to simulate surface gravity waves. it solves the wave action balance equation in frequency-direction space, computes the evolution of the wave spectrum, including energy input from wind, nonlinear interactions, dissipation by whitecapping, bottom friction, depth-induced breaking. in the breivik et al. 2015 configuration, ecwam provides stokes drift, water-side stress, turbulent kinetic energy tke flux to nemo.; growth, dissipation, nonlinear interaction coefficients, spectral discretization controls; atmospheric winds, ice fields, optional ocean / ice modifiers; optional surface currents, sea-ice fraction for wave-current, wave-ice effects in coupled mode e.g., ifs-ecwam-nemo framework .","a state-of-the-art ocean general circulation model for simulating the global ocean, including thermohaline circulation, upper-ocean mixing, sea ice. in the wave-aware configuration of breivik et al. 2015 , nemo ingests stokes drift, sea-state dependent water-side stress, wave-breaking turbulent kinetic energy tke flux from ecwam to represent surface wave effects on currents, mixing.; mixing, drag, coupling controls e.g., etau, langmuir, wave-related switches; standard surface forcing plus wave-induced fields from a spectral wave model ecwam when wave coupling is active; provides surface stokes drift, parameters for the vertical stokes drift profile, sea-state dependent water-side stress, breaking-wave tke flux used as upper boundary conditions in nemo.","a conceptual loose-coupling plan between a spectral wave model, an ocean circulation model. wave fields e.g., stokes drift, wave-modified stress, breaking-induced tke flux are provided to the ocean, the ocean can return surface currents, sea-ice fraction to the wave model. exchanges occur via files or a coupler at a coarse cadence no in-memory synchronization .; provides stokes_drift, wave-modified stress, wave-breaking tke flux to the ocean; provides surface currents, sea-ice concentration back to the wave model optional","A→AB:0.35 (covered: breaking, currents, drift, fraction, induced, optional, provides, spectral, stokes, stress, tke, wave) | B→AB:0.35 (covered: breaking, circulation, coupling, currents, drift, induced, provides, spectral, stokes, stress, tke, wave) | A∪B→AB:0.41 (covered: breaking, circulation, coupling, currents, drift, fraction, induced, optional, provides, spectral, stokes, stress, tke, wave) | uncovered_AB: are, back, between, cadence, can, coarse, concentration, conceptual, coupler, files, loose, memory, modified, no, occur, plan, provided, return, synchronization, via",Mismatch,INTENDED,(auxiliary) Semantic Mismatch / Description,PatternAgnostic,Domain,Deterministic,Mismatch,"Deterministic check: A→AB:0.35 (covered: breaking, currents, drift, fraction, induced, optional, provides, spectral, stokes, stress, tke, wave) | B→AB:0.35 (covered: breaking, circulation, coupling, currents, drift, induced, provides, spectral, stokes, stress, tke, wave) | A∪B→AB:0.41 (covered: breaking, circulation, coupling, currents, drift, fraction, induced, optional, provides, spectral, stokes, stress, tke, wave) | uncovered_AB: are, back, between, cadence, can, coarse, concentration, conceptual, coupler, files, loose, memory, modified, no, occur, plan, provided, return, synchronization, via",Introduce an explicit mediation/adaptation step to resolve this incompatibility before integration.,False
