group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,constraint_template,constraint_category,rm_odp_viewpoint,evaluation_mode,verdict,explanation,adaptation,in_paper_appendix
4,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTENDED,Synchronization Compatibility,RuntimeLevel,Engineering,LLMAssisted,Gap,,,True
4,Communication Mechanism Mismatch,communication_mechanism,Loose,Pattern-graded requirement,,,,Both sides or AB canonical interface required.,Missing,INTENDED,Interface Compatibility,RuntimeLevel,Computational,LLMAssisted,Gap,,,True
4,Conceptual Quality Gap,Authors’ Unique Identifier,Loose,Pattern-agnostic,"vincent vincenot; model design, implementation","vincent vincenot; http, / / orcid.org / 0000-0002-2386-1626; model development",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
4,Conceptual Quality Gap,Calibration Tools/Data,Loose,Pattern-agnostic,"tested using theoretical psnf benchmarks reproduced in vincenot 2017, spatial clustering, conspecific inhibition zones, coexistence patterns.",pattern calibration to match psnf-generated vegetation mosaics described in vincenot 2017.,,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
4,Conceptual Quality Gap,Conceptual Model Evaluation,Loose,Pattern-agnostic,"model reproduces known psnf-driven vegetation patterns such as patchiness, janzen-connell gaps, stable coexistence predicted by ecological theory.","model generates inhibition zones, patch dynamics, feedback strengths consistent with ecological theory.",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
4,Conceptual Quality Gap,Links to Publications & Reports,Loose,Pattern-agnostic,"vincenot et al., 2017, oikos","vincenot et al., 2017, oikos",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
4,Conceptual Quality Gap,Sensitivity Analysis,Loose,Pattern-agnostic,"explored for demographic traits, dispersal kernels, local interaction radius, strength of soil feedback.","conducted for decay rate, diffusion radius, feedback strength, species-specific sensitivity.",,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
4,Conceptual Quality Gap,Uncertainty Analysis,Loose,Pattern-agnostic,scenario-based parameter exploration,scenario-based,,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
4,Conceptual Quality Gap,Validation Capabilities,Loose,Pattern-agnostic,"verified by reproducing spatial patterns, size distributions, coexistence mechanisms demonstrated in vincenot 2017.",patterns match spatial phenomena such as janzen-connell gaps.,,Both provide metadata.,Match,INTENDED,Conceptual Quality Evidence,PatternAgnostic,Domain,LLMAssisted,Match,,,True
4,Data Schema Mismatch,(A or B).input vs AB.input,Loose,(A or B).input ↔ AB.input (similarity>0),A.in:soil_toxicity_per_cell; feedback_modified_germination_prob; environmental soil feedback fields provided by soilfeedback model; provides soil toxicity affecting plant establishment; growth | B.in:plant_biomass_per_cell; plant_density_per_cell; species_identity_per_cell; annual plant biomass; density maps from ibm; provides plant biomass / density maps,,(none),max=0.00 | missing: AB.input,Missing,INTENDED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Gap,,,True
4,Data Schema Mismatch,(A or B).output vs AB.output,Loose,(A or B).output ↔ AB.output (similarity>0),A.out:plant_biomass_per_cell; plant_density_per_cell; species_identity_per_cell | B.out:soil_toxicity_per_cell; modified_germination_prob_per_cell,,plant population; soil memory state; patch patterns,max=0.13,Match,INTENDED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Match,,,True
4,Data Schema Mismatch,A.output,Loose,A.output ↔ B.input (≥1),plant_biomass_per_cell; plant_density_per_cell; species_identity_per_cell,plant_biomass_per_cell; plant_density_per_cell; species_identity_per_cell; annual plant biomass; density maps from ibm; provides plant biomass / density maps,,plant_biomass_per_cell ↔ plant_biomass_per_cell (1.00); plant_density_per_cell ↔ plant_density_per_cell (1.00); species_identity_per_cell ↔ species_identity_per_cell (1.00),Match,INTENDED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Match,,,True
4,Data Schema Mismatch,B.output,Loose,B.output ↔ A.input (≥1),soil_toxicity_per_cell; modified_germination_prob_per_cell,soil_toxicity_per_cell; feedback_modified_germination_prob; environmental soil feedback fields provided by soilfeedback model; provides soil toxicity affecting plant establishment; growth,,soil_toxicity_per_cell ↔ soil_toxicity_per_cell (1.00); modified_germination_prob_per_cell ↔ feedback_modified_germination_prob (0.50),Match,INTENDED,Variable Semantic Compatibility,InformationLevel,Information,LLMAssisted,Match,,,True
4,Data Synchronization,data_synchronization,Loose,Pattern-graded requirement,grids must be aligned,aligned grids required,,Loose requires at least one declaration of synchronization.,Match,INTENDED,Synchronization Compatibility,RuntimeLevel,Engineering,LLMAssisted,Match,,,True
4,Dimensionality Mismatch,dimensionality,Loose,Common exchanged variables align semantically (or a declared conversion bridges them),2d,2d,2d,A<->B token-sim=1.00 (>0 means aligned),Match,INTENDED,Dimensionality Compatibility,InformationLevel,Information,Deterministic,Match,Deterministic check: A<->B token-sim=1.00 (>0 means aligned),No adaptation required.,True
4,Distribution Version Mismatch,distribution_version,Loose,Pattern-graded similarity/equality,1.0,1.0,1.0,A↔B token-sim=0.00 (> 0.00),Mismatch,INTENDED,Execution Environment Compatibility,RuntimeLevel,Technology,LLMAssisted,Mismatch,,,True
4,Error Handling Mismatch,error_handling,Loose,Pattern-graded requirement,"basic input validation, conflict resolution in events","prevents negative toxicity values, grid consistency checks",conflict resolution in synchronous updates,Both A and B or AB canonical required.,Match,INTENDED,Error-Handling Compatibility,RuntimeLevel,Computational,LLMAssisted,Match,,,True
4,Execution Constraint Mismatch,execution_constraints,Loose,Pattern-graded requirement,requires soilfeedback outputs in coupled mode,must run after ibm each timestep,,Loose requires at least one side (or AB) to declare this.,Match,INTENDED,Execution Ordering Compatibility,RuntimeLevel,Engineering,Deterministic,Match,Deterministic check: Loose requires at least one side (or AB) to declare this.,No adaptation required.,True
