group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,LLM-Result,LLM-suggestion
2,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTEGRATED,Mismatch,Declare acknowledgment protocols for at least one side or AB.
2,Communication Mechanism Mismatch,communication_mechanism,Loose,Pattern-graded requirement,,,,Both sides or AB canonical interface required.,Missing,INTEGRATED,Mismatch,Declare communication mechanisms for both sides or AB.
2,Conceptual Quality Gap,Authors’ Unique Identifier,Loose,Pattern-agnostic,"stephen l. cornford; ice sheet model design, coordination; xylar s. asay-davis; project lead, experimental design, analysis","paul r. holland; ocean model physics, melt formulation; xylar s. asay-davis; project lead, coordination, experiments",,Both provide metadata.,Match,INTEGRATED,Match,
2,Conceptual Quality Gap,Calibration Tools/Data,Loose,Pattern-agnostic,,,,Neither provides metadata.,Missing,INTEGRATED,Missing,
2,Conceptual Quality Gap,Conceptual Model Evaluation,Loose,Pattern-agnostic,"validated against semi-analytical solutions, tested in multi-model comparisons","matches known plume, melt physics",,Both provide metadata.,Match,INTEGRATED,Match,
2,Conceptual Quality Gap,Links to Publications & Reports,Loose,Pattern-agnostic,"asay-davis et al. 2016 , geosci. model dev.; pattyn et al. 2013 , the cryosphere","asay-davis et al. 2016 , geosci. model dev.; holland et al. 2008",,Both provide metadata.,Match,INTEGRATED,Match,
2,Conceptual Quality Gap,Sensitivity Analysis,Loose,Pattern-agnostic,"resolution, parameter sensitivity","grid resolution, melt formulations",,Both provide metadata.,Match,INTEGRATED,Match,
2,Conceptual Quality Gap,Uncertainty Analysis,Loose,Pattern-agnostic,"scenario-based melt, friction laws",scenario-based,,Both provide metadata.,Match,INTEGRATED,Match,
2,Conceptual Quality Gap,Validation Capabilities,Loose,Pattern-agnostic,,,,Neither provides metadata.,Missing,INTEGRATED,Missing,
2,Data Schema Mismatch,(A or B).input vs AB.input,Loose,(A or B).input ↔ AB.input (similarity>0),A.in:melt_rate; sub-shelf melt-rate fields provided externally e.g.; from isomip+ runs; sub-shelf melt rates used as forcing | B.in:ice_draft_geometry; grounding_line_position; ice geometry from an ice-sheet model run e.g.; mismip+; ice geometry to drive ocean cavity model,,(none),max=0.00 | missing: AB.input,Missing,INTEGRATED,Mismatch,Declare AB.input to ensure compatibility.
2,Data Schema Mismatch,(A or B).output vs AB.output,Loose,(A or B).output ↔ AB.output (similarity>0),A.out:ice_draft_geometry; grounding_line_position; ice_thickness; volume_above_flotation | B.out:melt_rate; ocean_velocity; temperature; salinity,,grounding line; melt rate; ice thickness; ocean velocity; temperature fields,max=0.72,Match,INTEGRATED,Match,
2,Data Schema Mismatch,A.output,Loose,A.output ↔ B.input (≥1),ice_draft_geometry; grounding_line_position; ice_thickness; volume_above_flotation,ice_draft_geometry; grounding_line_position; ice geometry from an ice-sheet model run e.g.; mismip+; ice geometry to drive ocean cavity model,,ice_draft_geometry ↔ ice_draft_geometry (1.00); grounding_line_position ↔ grounding_line_position (1.00),Match,INTEGRATED,Match,
2,Data Schema Mismatch,B.output,Loose,B.output ↔ A.input (≥1),melt_rate; ocean_velocity; temperature; salinity,melt_rate; sub-shelf melt-rate fields provided externally e.g.; from isomip+ runs; sub-shelf melt rates used as forcing,,melt_rate ↔ melt_rate (1.00),Match,INTEGRATED,Match,
