group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,LLM-Result,LLM-suggestion
10,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare this.",Missing,INTEGRATED,Gap,field A+B missing
10,Communication Mechanism Mismatch,communication_mechanism,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare mechanism.",Missing,INTEGRATED,Gap,field A+B missing
10,Data Schema Mismatch,(A or B).input vs AB.input,Embedded,(A or B).input ↔ AB.input (similarity>0),A.in:surface heat; freshwater; momentum fluxes; satellite altimetry for sla validation | B.in:chlorophyll-a validation; dust / iron forcing fields,,(none),max=0.00 | missing: AB.input,Missing,INTEGRATED,Gap,field B missing
10,Data Schema Mismatch,Direction (any),Embedded,A.output ↔ B.input OR B.output ↔ A.input (≥1),A.out:sea level; sst; salinity; currents; mixed layer depth; transports; enso indices; chlorophyll-a from wombat,B.out:nutrient concentrations; phytoplankton biomass; zooplankton biomass; detritus; chlorophyll-a; oxygen; carbon fluxes,,A2B:×; B2A:×,Mismatch,INTEGRATED,,
10,Data Synchronization,data_synchronization,Embedded,Pattern-graded requirement,"in-memory exchange of state variables between mom4p1, wombat","in-memory exchange of tracer fields, physical state variables",exchange at fixed coupling intervals,Embedded expects explicit synchronous/lockstep cues.,Mismatch,INTEGRATED,Match,"Both models support in-memory exchange, and the integration specification can handle the synchronization."
10,Distribution Version Mismatch,distribution_version,Embedded,Exact equality required,3.0,2013.1,"orca2-lim paper configuration, 2005",Not equal.,Mismatch,INTEGRATED,Match,"Version can vary across distributions/releases; treat as informational metadata unless it changes input/output schema, units, timestep, or execution dependencies."
10,Error Handling Mismatch,error_handling,Embedded,Pattern-graded requirement,"runtime logging, constraints applied via restoring terms, no automated recovery","basic validation of boundary conditions, runtime checks in coupled execution with ofam3",,"Embedded requires A, B, and AB error handling.",Missing,INTEGRATED,,
10,File Format Mismatch,file_formats,Embedded,Presence required,,,netcdf,Neither provides metadata.,Missing,INTEGRATED,Gap,field A+B missing
10,Hardware Resource Mismatch,hardware_specification_and_requirements,Embedded,Exact equality required,high-performance computing hpc environment required due to high resolution,high-performance computing hpc environment,workstation / hpc,Not equal.,Mismatch,INTEGRATED,Match,"Both models require a high-performance computing environment, so the mismatch is not real."
10,License Incompatibility,license,Embedded,Pattern-graded requirement,"research / institutional use csiro / bureau of meteorology , not openly gpl",research / institutional use csiro / bureau of meteorology,,Exact equality required at Embedded.,Mismatch,INTEGRATED,Match,"Both models have the same license requirements, so the mismatch is not real."
10,Programming Language Incompatibility,programming_language,Embedded,Exact equality required,"fortran mom4p1 core, coupled with wombat biogeochemistry",fortran coupled with mom4p1 in ofam3,fortran,Not equal.,Mismatch,INTEGRATED,Match,"Both models use Fortran, so the mismatch is not real."
10,Semantic Mismatch,Assumptions,Embedded,Coverage threshold ≥ 0.50,"ocean represented using z* coordinate system; forcing via atmospheric reanalysis fields era-interim; no explicit sea-ice model included; surface restoring toward climatological temperature, salinity","nutrient uptake follows redfield stoichiometry; phytoplankton growth limited by light, phosphate, iron; simple npzd structure for ecosystem representation; air-sea gas exchange parameterized by wind speed, climatological ice cover","bulk exchange at ice-ocean interface, drag, heat transfer laws per literature.; sss restoring used to limit drift, avoid spurious convection.; coarse grid under-resolves narrow currents, small polynya features.","A→AB:0.04 (covered: restoring) | B→AB:0.00 (covered: —) | A∪B→AB:0.04 (covered: restoring) | uncovered_AB: avoid, bulk, coarse, convection, currents, drag, drift, features, grid, heat, interface, laws, limit, literature, narrow, per, polynya, resolves, small, spurious, sss, transfer, used",Mismatch,INTEGRATED,Match,"The assumptions are different but compatible, and the integration specification can handle the differences."
10,Semantic Mismatch,Description,Embedded,Coverage threshold ≥ 0.50,"ofam3 is a near-global, eddy-resolving ocean general circulation model based on the modular ocean model mom4p1 . it simulates physical ocean dynamics, circulation, temperature, salinity, mesoscale variability, coupled with a biogeochemical model wombat .; defines model grid, vertical resolution, viscosity, mixing scheme, restoring timescales","wombat is a three-dimensional npzd-type ocean biogeochemistry model, including nutrients, phytoplankton, zooplankton, detritus, extensions for carbon, oxygen, iron cycles. it is designed to simulate large-scale biogeochemical cycling, ecosystem responses when coupled to ocean circulation models.; defines ecosystem constants uptake rates, remineralization rates, stoichiometric ratios","two-way coupled sea-ice-ocean system on the orca2 tripolar grid 78°s-90°n, ~2° mean resolution , evaluating high-latitude processes, sea-ice variability, ocean circulation under combined reanalysis / climatology forcing.; ice-ocean interface exchange, schedule; atmospheric, surface boundary conditions; january phc fields for ocean t / s, initial sea-ice, snow thickness specified by hemisphere.; ncep / ncar daily + monthly climatologies, river runoff, used for two 23-yr passes spin-up + analysis .","A→AB:0.09 (covered: circulation, grid, resolution, variability) | B→AB:0.02 (covered: circulation) | A∪B→AB:0.09 (covered: circulation, grid, resolution, variability) | uncovered_AB: 23, 78, 90, analysis, atmospheric, boundary, climatologies, climatology, combined, conditions, daily, evaluating, forcing, hemisphere, high, initial, interface, january, latitude, mean, monthly, ncar, ncep, orca2, passes, phc, processes, reanalysis, river, runoff, schedule, snow, specified, spin, system, thickness, tripolar, two, up, used, way, yr",Mismatch,INTEGRATED,Match,"The descriptions are different but compatible, and the integration specification can handle the differences."
10,Semantic Mismatch,Keywords,Embedded,Coverage threshold ≥ 0.50,ocean circulation; eddy-resolving; climate modeling; biogeochemistry; ocean forecasting; mesoscale variability,biogeochemistry; npzd model; carbon cycle; nutrient cycling; phytoplankton; ocean ecosystems,coupled model; orca2 grid; high latitudes; sea-ice-ocean interaction; convection sites; sensitivity studies,"A→AB:0.00 (covered: —) | B→AB:0.00 (covered: —) | A∪B→AB:0.00 (covered: —) | uncovered_AB: convection, grid, high, interaction, latitudes, orca2, sensitivity, sites, studies",Mismatch,INTEGRATED,Match,"The keywords are different but compatible, and the integration specification can handle the differences."
10,Semantic Mismatch,Model Version,Embedded,A or B must equal AB exactly,3.0; 2009; v1.1,2013.1; 2008; 2011,"opa 8.2 + lim 1997 / 1999 thermodynamics, vp dynamics; 2001; 1977-1999",A==AB:×; B==AB:×,Mismatch,INTEGRATED,Match,"Version can vary across models/distributions; this is typically not an integration blocker as long as interfaces, schemas, and runtime contracts remain compatible."
10,Semantic Mismatch,Purpose & Pattern,Embedded,Coverage threshold ≥ 0.50,"hindcast, forecast upper ocean circulation, mesoscale eddies, physical-biogeochemical interactions; integrated coupling with biogeochemical model wombat; integrated coupling","quantify nutrient, carbon cycling, chlorophyll distributions, ecosystem variability in the global ocean; integrated coupling with ofam3 physical circulation model; integrated coupling","assess representation of high-latitude processes, sea-ice variability in a coarse-resolution global model; opa-lim two-way coupling exchanging momentum, heat, freshwater fluxes at fixed intervals; embedded","A→AB:0.05 (covered: coupling) | B→AB:0.14 (covered: coupling, global, variability) | A∪B→AB:0.14 (covered: coupling, global, variability) | uncovered_AB: assess, coarse, embedded, exchanging, fixed, freshwater, heat, high, intervals, latitude, lim, momentum, opa, processes, representation, resolution, two, way",Mismatch,INTEGRATED,Match,"The purposes and patterns are different but compatible, and the integration specification can handle the differences."
10,Semantic Mismatch,Scope,Embedded,Coverage threshold ≥ 0.50,"simulation of physical ocean dynamics, coupled biogeochemical processes at near-global scale","simulation of nutrient cycles, primary production, biogeochemical tracers in the global ocean",global ocean with explicit arctic / antarctic sea-ice cover,"A→AB:0.20 (covered: global) | B→AB:0.20 (covered: global) | A∪B→AB:0.20 (covered: global) | uncovered_AB: antarctic, arctic, cover, explicit",Mismatch,INTEGRATED,Match,"The scopes are different but compatible, and the integration specification can handle the differences."
10,Semantic Mismatch,Title,Embedded,Coverage threshold ≥ 0.50,"ofam3, ocean forecasting australian model, version 3; ofam3_config_parameters; p. r. oke; a. schiller; r. j. matear","wombat, whole ocean model of biogeochemistry, trophic-dynamics; wombat_config_parameters; r. j. matear; a. lenton; p. r. oke","orca2-lim, coupled global sea-ice-ocean model; coupling_parameters; forcing_and_restoring; ralph timmermann; hugues goosse; gurvan madec; thierry fichefet; christian ethé; valérie dulière","A→AB:0.05 (covered: parameters) | B→AB:0.05 (covered: parameters) | A∪B→AB:0.05 (covered: parameters) | uncovered_AB: christian, coupling, duli, eth, fichefet, forcing, global, goosse, gurvan, hugues, lim, madec, orca2, ralph, re, restoring, rie, thierry, timmermann, val",Mismatch,INTEGRATED,Match,"The titles are different but compatible, and the integration specification can handle the differences."
10,Software Environment Mismatch,software_specification_and_requirements,Embedded,Exact equality required,"fortran compiler, mpi for parallel execution; surface heat, freshwater, momentum fluxes; satellite altimetry for sla validation","requires coupled execution with ofam3, fortran compiler, mpi; chlorophyll-a validation; dust / iron forcing fields","netcdf i / o, tripolar grid, coupling driver",Not equal.,Mismatch,INTEGRATED,Match,"The software environments are different but compatible, and the integration specification can handle the differences."
10,Source Code Availability Gap,availability_of_source_code (A),Embedded,Presence required,,,,A provides metadata,Missing,INTEGRATED,Gap,field A+B missing
10,Source Code Availability Gap,availability_of_source_code (B),Embedded,Presence required,,,,B provides metadata,Missing,INTEGRATED,Gap,field A+B missing
10,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare this.",Missing,INTENDED,Gap,field A+B missing
