group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,LLM-Result,LLM-suggestion
10,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare this.",Missing,INTENDED,Gap,field A+B missing
10,Communication Mechanism Mismatch,communication_mechanism,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare mechanism.",Missing,INTENDED,Gap,field A+B missing
10,Data Schema Mismatch,(A or B).input vs AB.input,Embedded,(A or B).input ↔ AB.input (similarity>0),A.in:surface heat; freshwater; momentum fluxes; satellite altimetry for sla validation | B.in:chlorophyll-a validation; dust / iron forcing fields,,(none),max=0.00 | missing: AB.input,Missing,INTENDED,Gap,field B missing
10,Data Schema Mismatch,(A or B).output vs AB.output,Embedded,(A or B).output ↔ AB.output (similarity>0),A.out:sea level; sst; salinity; currents; mixed layer depth; transports; enso indices; chlorophyll-a from wombat | B.out:nutrient concentrations; phytoplankton biomass; zooplankton biomass; detritus; chlorophyll-a; oxygen; carbon fluxes,,(none),max=0.00 | missing: AB.output,Missing,INTENDED,Gap,field B missing
10,Data Schema Mismatch,Direction (any),Embedded,A.output ↔ B.input OR B.output ↔ A.input (≥1),A.out:sea level; sst; salinity; currents; mixed layer depth; transports; enso indices; chlorophyll-a from wombat,B.out:nutrient concentrations; phytoplankton biomass; zooplankton biomass; detritus; chlorophyll-a; oxygen; carbon fluxes,,A2B:×; B2A:×,Mismatch,INTENDED,,
10,Data Synchronization,data_synchronization,Embedded,Pattern-graded requirement,"in-memory exchange of state variables between mom4p1, wombat","in-memory exchange of tracer fields, physical state variables",in-memory exchange,Embedded expects explicit synchronous/lockstep cues.,Mismatch,INTENDED,Match,The difference in state variables and tracer fields can be managed through proper mapping and synchronization strategies.
10,Distribution Version Mismatch,distribution_version,Embedded,Exact equality required,3.0,2013.1,,Not equal.,Mismatch,INTENDED,Match,"Version can vary across distributions/releases; treat as informational metadata unless it changes input/output schema, units, timestep, or execution dependencies."
10,Error Handling Mismatch,error_handling,Embedded,Pattern-graded requirement,"runtime logging, constraints applied via restoring terms, no automated recovery","basic validation of boundary conditions, runtime checks in coupled execution with ofam3",,"Embedded requires A, B, and AB error handling.",Missing,INTENDED,,
10,File Format Mismatch,file_formats,Embedded,Presence required,,,,Neither provides metadata.,Missing,INTENDED,Gap,field A+B missing
10,Hardware Resource Mismatch,hardware_specification_and_requirements,Embedded,Exact equality required,high-performance computing hpc environment required due to high resolution,high-performance computing hpc environment,,Not equal.,Mismatch,INTENDED,Match,"Both models require a high-performance computing environment, so this is not a real mismatch."
10,License Incompatibility,license,Embedded,Pattern-graded requirement,"research / institutional use csiro / bureau of meteorology , not openly gpl",research / institutional use csiro / bureau of meteorology,,Exact equality required at Embedded.,Mismatch,INTENDED,Match,"The licenses are compatible for research and institutional use, so this is not a real mismatch."
10,Parallel Execution Incompatibility,parallel_execution,Embedded,Pattern-graded requirement,true,true,,"Embedded requires A, B, and AB to declare this.",Missing,INTENDED,,
