group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind
5,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Shared,Pattern-graded requirement,,,,Shared requires both A and B to declare this.,Missing,INTENDED
5,Communication Mechanism Mismatch,communication_mechanism,Shared,Pattern-graded requirement,,,,Both sides must declare mechanism.,Missing,INTENDED
5,Data Schema Mismatch,(A or B).input vs AB.input,Shared,(A or B).input ↔ AB.input (similarity>0),A.in:sea_surface_temperature; sea_surface_salinity; ocean_surface_currents_u; ocean_surface_currents_v; ocean_mixed_layer_depth; downwelling_shortwave_radiation; downwelling_longwave_radiation; ocean surface state; fluxes from opa; physical ocean state variables; surface fluxes for sea-ice thermodynamics / dynamics | B.in:ice_concentration; ice_thickness; snow_thickness; ice_ocean_freshwater_flux; ice_ocean_heat_flux; ice_ocean_momentum_stress; sea-ice state; fluxes from lim; sea-ice thermodynamic; dynamic state plus ice-ocean fluxes,,(none),max=0.00 | missing: AB.input,Missing,INTENDED
5,Data Schema Mismatch,(A or B).output vs AB.output,Shared,(A or B).output ↔ AB.output (similarity>0),A.out:ice_concentration; ice_thickness; snow_thickness; ice_drift_u; ice_drift_v; surface_albedo; ice_ocean_freshwater_flux; ice_ocean_heat_flux; ice_ocean_momentum_stress | B.out:sea_surface_temperature; sea_surface_salinity; ocean_surface_currents_u; ocean_surface_currents_v; mixed_layer_depth; downwelling_shortwave_radiation; downwelling_longwave_radiation,,coupled ocean-ice diagnostics,max=0.00,Mismatch,INTENDED
5,Dimensionality Mismatch,dimensionality,Shared,Common exchanged variables align semantically,2d plan-view with multilayer thermodynamics,3d,,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTENDED
5,Distribution Version Mismatch,distribution_version,Shared,Pattern-graded similarity/equality,as used in orca2-lim 2005 application,8.2 study,,A↔B token-sim=0.00 (> 0.25),Mismatch,INTENDED
5,File Format Mismatch,file_formats,Shared,Presence required,,,,Neither provides metadata.,Missing,INTENDED
5,Landing Page Gap,landing_page (A),Shared,Presence required,,,,A provides landing page,Missing,INTENDED
5,Latency Expectation Mismatch,latency_expectations,Shared,Pattern-graded requirement,,,exchange every coupling interval few ocean steps,Shared requires both A and B to declare this.,Missing,INTENDED
5,Semantic Mismatch,Assumptions,Shared,Coverage threshold ≥ 0.50,"sea ice treated as a 2-d continuum with vp rheology.; effective thermal conductivity assumes uniform subgrid thickness distribution.; albedo parameterized by surface state, snow / ice thickness.; snow-ice formation when snow depresses surface below sea level.","hydrostatic, boussinesq primitive equations, nonlinear eos.; parameterized mesoscale eddies via gm90, level-1.5 tke for vertical mixing.; bottom boundary-layer scheme for dense overflows.","both submodels share identical timestep, grid; two-way exchange each coupling interval; flux variables are directly compatible in units, meaning","A→AB:0.00 (covered: —) | B→AB:0.00 (covered: —) | A∪B→AB:0.00 (covered: —) | uncovered_AB: are, both, compatible, coupling, directly, each, grid, identical, interval, meaning, share, submodels, timestep, two, units, way",Mismatch,INTENDED
5,Semantic Mismatch,Description,Shared,Coverage threshold ≥ 0.50,"two-dimensional dynamic-thermodynamic sea-ice model with a three-layer thermodynamics scheme snow, 1 layer, ice, 2 layers , viscous-plastic vp rheology, advection via second-order moments prather , parameterized lead formation / closure. coupled to opa to exchange momentum, heat, freshwater fluxes.; ocean surface state, fluxes from opa; physical ocean state variables, surface fluxes for sea-ice thermodynamics / dynamics","hydrostatic, primitive-equation ogcm with free surface, includes isopycnal mixing, gent-mcwilliams eddy advection, tke vertical mixing, double diffusion, a bottom boundary-layer scheme. coupled to lim for sea-ice interactions.; sea-ice state, fluxes from lim; sea-ice thermodynamic, dynamic state plus ice-ocean fluxes","coupled configuration integrating the louvain-la-neuve sea-ice model lim with the océan parallélisé ogcm opa . simulates polar ocean-ice interactions, including exchanges of momentum, heat, salt, freshwater, with two-way flux coupling.; provides ice-ocean fluxes, ice state to opa; provides ocean surface state, currents to lim","A→AB:0.24 (covered: freshwater, heat, momentum, opa, state, two) | B→AB:0.16 (covered: interactions, lim, ogcm, state) | A∪B→AB:0.36 (covered: freshwater, heat, interactions, lim, momentum, ogcm, opa, state, two) | uncovered_AB: configuration, coupling, currents, including, integrating, la, lis, louvain, neuve, oc, parall, polar, provides, salt, simulates, way",Mismatch,INTENDED
