group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind
6,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare this.",Missing,INTENDED
6,Communication Mechanism Mismatch,communication_mechanism,Embedded,Pattern-graded requirement,,,,"Embedded requires A, B, and AB to declare mechanism.",Missing,INTENDED
6,Conceptual Quality Gap,Authors’ Unique Identifier,Embedded,Pattern-agnostic,"skamarock et al. wrf team; core, physics","subin et al., xiao et al.; lake scheme development, wrf integration",,Both provide metadata.,Match,INTENDED
6,Conceptual Quality Gap,Calibration Tools/Data,Embedded,Pattern-agnostic,"reanalysis forcing, in situ / satellite validations e.g., buoys, precipitation analyses","buoy temperature profiles, ice cover climatology",,Both provide metadata.,Match,INTENDED
6,Conceptual Quality Gap,Conceptual Model Evaluation,Embedded,Pattern-agnostic,"demonstrates improved lst / ice when dynamic albedo, tuned diffusivity, snow-over-ice are used","improvements via dynamic albedo, tuned diffusivity reduce lst / ice biases",,Both provide metadata.,Match,INTENDED
6,Conceptual Quality Gap,Links to Publications & Reports,Embedded,Pattern-agnostic,"xiao et al., 2016 james","xiao et al., 2016 james",,Both provide metadata.,Match,INTENDED
6,Conceptual Quality Gap,Sensitivity Analysis,Embedded,Pattern-agnostic,"physics suite alternatives, lake albedo / diffusivity options","diffusivity enhancement factors, albedo options, snow physics toggles",,Both provide metadata.,Match,INTENDED
6,Conceptual Quality Gap,Uncertainty Analysis,Embedded,Pattern-agnostic,scenario / physics ensemble configurations,physics parameter sweeps,,Both provide metadata.,Match,INTENDED
6,Conceptual Quality Gap,Validation Capabilities,Embedded,Pattern-agnostic,"against buoys lst profiles , ice cover climatology, precipitation products","profiles vs. moorings, lic vs. satellite / analyses",,Both provide metadata.,Match,INTENDED
6,Data Schema Mismatch,(A or B).input vs AB.input,Embedded,(A or B).input ↔ AB.input (similarity>0),A.in:lake_skin_temperature; lake_ice_fraction; lake_ice_thickness; lake_surface_albedo; surface_roughness_length_water; upward_sensible_heat_flux; upward_latent_heat_flux; upward_longwave_radiation; reflected_shortwave_radiation; surface_evaporation_rate; lake_snow_depth; surface state; fluxes computed by the embedded lake column at water grid cells b → a; in-memory .; embedded lake column providing lower-boundary state; fluxes over water points | B.in:air_temperature_2m; specific_humidity_2m; wind_speed_10m; wind_u10; wind_v10; surface_pressure; downwelling_shortwave_radiation; downwelling_longwave_radiation; precipitation_rain_rate; precipitation_snow_rate; near_surface_air_density; reference_height_wind; near-surface meteorology; radiative forcing from wrf a → b; in-memory .; host atmosphere providing meteorology; radiation to the lake column,,(none),max=0.00 | missing: AB.input,Missing,INTENDED
6,Data Schema Mismatch,(A or B).output vs AB.output,Embedded,(A or B).output ↔ AB.output (similarity>0),A.out:air_temperature_2m; specific_humidity_2m; wind_speed_10m; wind_u10; wind_v10; surface_pressure; downwelling_shortwave_radiation; downwelling_longwave_radiation; precipitation_rain_rate; precipitation_snow_rate; near_surface_air_density; reference_height_wind | B.out:lake_skin_temperature; lake_ice_fraction; lake_ice_thickness; lake_surface_albedo; surface_roughness_length_water; upward_sensible_heat_flux; upward_latent_heat_flux; upward_longwave_radiation; reflected_shortwave_radiation; surface_evaporation_rate; lake_snow_depth,,(none),max=0.00 | missing: AB.output,Missing,INTENDED
6,Data Schema Mismatch,Direction (any),Embedded,A.output ↔ B.input OR B.output ↔ A.input (≥1),A.out:air_temperature_2m; specific_humidity_2m; wind_speed_10m; wind_u10; wind_v10; surface_pressure; downwelling_shortwave_radiation; downwelling_longwave_radiation; precipitation_rain_rate; precipitation_snow_rate; near_surface_air_density; reference_height_wind,B.out:lake_skin_temperature; lake_ice_fraction; lake_ice_thickness; lake_surface_albedo; surface_roughness_length_water; upward_sensible_heat_flux; upward_latent_heat_flux; upward_longwave_radiation; reflected_shortwave_radiation; surface_evaporation_rate; lake_snow_depth,,A2B:✓; B2A:✓,Match,INTENDED
6,Data Synchronization,data_synchronization,Embedded,Pattern-graded requirement,"two-way, every physics step in-memory field exchange",two-way in-memory exchange every physics step,two-way in-memory exchange each coupling step,Embedded expects explicit synchronous/lockstep cues.,Mismatch,INTENDED
6,Dimensionality Mismatch,dimensionality,Embedded,Common exchanged variables align semantically,3d,1d vertical,,A↔B token-sim=0.00 (>0 ⇒ aligned),Mismatch,INTENDED
6,Distribution Version Mismatch,distribution_version,Embedded,Exact equality required,3.6+,embedded with wrf v3.6+,,Not equal.,Mismatch,INTENDED
6,Error Handling Mismatch,error_handling,Embedded,Pattern-graded requirement,"numerical stability checks, restart files","state / energy checks, non-negative thickness constraints",,"Embedded requires A, B, and AB error handling.",Missing,INTENDED
6,Execution Constraint Mismatch,execution_constraints,Embedded,Pattern-graded requirement,"synchronous timestep, identical grid cell ownership for lake points","same timestep as host, strict energy / mass conservation at interface",synchronous coupling at physics time step with shared grid cell ownership over lakes,Embedded requires synchronous/low-latency cues (as applicable).,Match,INTENDED
6,Execution Instruction Gap,execution_instructions,Embedded,Require both sides,"configure namelists, compile physics with lake option, run real.exe, wrf.exe","enable lake physics in wrf namelist, supply lake mask / bathymetry, run synchronously with atmosphere",,Both A and B must provide.,Match,INTENDED
6,File Format Mismatch,file_formats,Embedded,Presence required,,,,Neither provides metadata.,Missing,INTENDED
6,Hardware Resource Mismatch,hardware_specification_and_requirements,Embedded,Exact equality required,hpc / cluster,same as host wrf,,Not equal.,Mismatch,INTENDED
6,Implementation Verification Gap,implementation_verification (A),Embedded,Presence required,"standard wrf benchmarks, lake-enabled case studies; reanalysis comparison, station / buoy validations",,,A provides metadata,Match,INTENDED
6,Implementation Verification Gap,implementation_verification (B),Embedded,Presence required,"case studies of great lakes; energy closure checks, comparison to buoy lst, ice cover",,,B provides metadata,Match,INTENDED
