group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind,LLM-Result,LLM-suggestion
3,Acknowledgment Protocol Mismatch,acknowledgment_protocols,Loose,Pattern-graded requirement,,,,Loose requires at least one side (or AB) to declare this.,Missing,INTENDED,Mismatch,Declare acknowledgment protocols for at least one side or AB.
3,Communication Mechanism Mismatch,communication_mechanism,Loose,Pattern-graded requirement,,,,Both sides or AB canonical interface required.,Missing,INTENDED,Mismatch,Declare communication mechanisms for both sides or AB.
3,Conceptual Quality Gap,Authors’ Unique Identifier,Loose,Pattern-agnostic,"øyvind breivik; https, / / orcid.org / 0000-0001-7016-8023; model developer, wave-ocean coupling experiments","jean-marc molines; core developer nemo ocean dynamics; øyvind breivik; wave-ocean coupling experiments, implementation",,Both provide metadata.,Match,INTENDED,Match,
3,Conceptual Quality Gap,Calibration Tools/Data,Loose,Pattern-agnostic,"validated against satellite altimetry, buoy observations","tuned using observed climatologies, reanalyses",,Both provide metadata.,Match,INTENDED,Match,
3,Conceptual Quality Gap,Conceptual Model Evaluation,Loose,Pattern-agnostic,"operational at ecmwf, physics thoroughly documented","widely validated in cmip, operational contexts",,Both provide metadata.,Match,INTENDED,Match,
3,Conceptual Quality Gap,Links to Publications & Reports,Loose,Pattern-agnostic,janssen 2004; breivik et al. 2015,madec 2008; breivik et al. 2015,,Both provide metadata.,Match,INTENDED,Match,
3,Conceptual Quality Gap,Sensitivity Analysis,Loose,Pattern-agnostic,"tuning of drag, dissipation, nonlinear source terms","parameters for mixing, drag, coupling frequency",,Both provide metadata.,Match,INTENDED,Match,
3,Conceptual Quality Gap,Uncertainty Analysis,Loose,Pattern-agnostic,"scenario, ensemble configurations",ensemble runs with perturbed forcings,,Both provide metadata.,Match,INTENDED,Match,
3,Conceptual Quality Gap,Validation Capabilities,Loose,Pattern-agnostic,"validated in hindcast, operational forecast modes","against argo, sst, altimetry, sea-ice datasets",,Both provide metadata.,Match,INTENDED,Match,
3,Data Schema Mismatch,(A or B).input vs AB.input,Loose,(A or B).input ↔ AB.input (similarity>0),A.in:wind_u10; wind_v10; sea_ice_concentration; surface_current_u; surface_current_v; atmospheric winds; optional ocean / ice modifiers; optional surface currents; sea-ice fraction for wave-current / ice effects; 10 m wind u10; v10; sea-ice concentration attenuation; bathymetry; coastlines | B.in:stokes_drift_surface_u; stokes_drift_surface_v; stokes_profile_scale; wave_modified_stress_to_ocean; wave_breaking_tke_flux; sea_ice_concentration; wave-induced fields from a spectral wave model plus standard surface forcing; provides stokes drift; wave-modified stress; breaking-induced tke flux; surface wind stress; heat / freshwater fluxes; runoff; restoring fields; sea-ice fields if lim is enabled,,(none),max=0.00 | missing: AB.input,Missing,INTENDED,Mismatch,Declare AB.input to ensure compatibility.
